A1_ensembl,A2_ensembl,sequence_identity,min_sequence_identity,max_seq_id,closest,family_size,family_id,sorted_gene_pair,A1_entrez,A2_entrez,interact,A1_ppi,A2_ppi,n_A1_ppi,n_A2_ppi,shared_ppi,n_total_ppi,n_shared_ppi,shared_ppi_jaccard_idx,fet_ppi_overlap,A1,A2,uniprot_id_A1,uniprot_id_A2,A1_A2_rank_struct,A2_A1_rank_struct,A1_nb_human_struct,A2_nb_human_struct,A1_nb_taxid_struct,A2_nb_taxid_struct,A1_bits_struct,A2_bits_struct,A1_fident_struct,A2_fident_struct,A1_alnlen_struct,A2_alnlen_struct,A1_evalue_struct,A2_evalue_struct,A1_alntmscore_struct,A2_alntmscore_struct,A1_qtmscore_struct,A2_qtmscore_struct,A1_ttmscore_struct,A2_ttmscore_struct,A1_prob_struct,A2_prob_struct,A1_lddt_struct,A2_lddt_struct,A1_A2_rank_seq,A2_A1_rank_seq,A1_nb_selfSP_seq,A2_nb_selfSP_seq,A1_nb_taxid_seq,A2_nb_taxid_seq,A1_A2_bits_seq,A2_A1_bits_seq,A1_A2_id_percent_seq,A2_A1_id_percent_seq,A1_A2_evalue_seq,A2_A1_evalue_seq,Unnamed: 0,esm2_beginning_of_sequence_cosine,esm2_beginning_of_sequence_euclidean,esm2_beginning_of_sequence_manhattan,esm2_beginning_of_sequence_ts_ss,esm2_end_of_sequence_cosine,esm2_end_of_sequence_euclidean,esm2_end_of_sequence_manhattan,esm2_end_of_sequence_ts_ss,esm2_mean_of_residue_tokens_cosine,esm2_mean_of_residue_tokens_euclidean,esm2_mean_of_residue_tokens_manhattan,esm2_mean_of_residue_tokens_ts_ss,esm2_mean_of_special_tokens_cosine,esm2_mean_of_special_tokens_euclidean,esm2_mean_of_special_tokens_manhattan,esm2_mean_of_special_tokens_ts_ss,ProtT5_per-protein_cosine,ProtT5_per-protein_euclidean,ProtT5_per-protein_manhattan,ProtT5_per-protein_ts_ss,rank_struct,selfSP_struct,taxid_struct,bits_struct,fident_struct,alnlen_struct,evalue_struct,alntmscore_struct,qtmscore_struct,ttmscore_struct,prob_struct,lddt_struct,rank_seq,selfSP_seq,taxid_seq,bits_seq,id_percent_seq,evalue_seq,dim1_PCA,BPO,CCO,MFO,same_func_go,same_func_ppi
YCR024C-A,YEL017C-A,0.975,0.906977,0.975,True,2,10,YCR024C-A_YEL017C-A,YCR024C-A,YEL017C-A,False,"{'YDR141C', 'YMR054W', 'YGL160W', 'YER001W'}",{'YGL160W'},4,1,{'YGL160W'},4,1,0.25,2.992000909942456,YCR024C-A,YEL017C-A,P32903,P40975,1.0,1.0,0.0,0.0,0.0,0.0,151.0,155.0,0.95,0.95,40.0,40.0,0.001326,0.0003912,0.9448,0.9464,0.9448,0.8843,0.9097,0.9464,1.0,1.0,0.9848,0.9637,1.0,1.0,0.0,0.0,0.0,0.0,77.0,76.0,0.974,0.974,1.215e-17,3.194e-17,1222,0.0050477320658587,1.1124910272400452,63.543394684791565,0.0536153538174015,0.0065401009750077,1.3558576897011705,76.50230205059052,0.1160370162586966,0.0240309119444802,1.8010483917570288,101.35983437299728,0.1596523106901899,0.0041510098489687,0.9671603220722428,54.91596269607544,0.0341527248516938,0.02001953125,0.3938,9.93,0.0005478585778195,1.0,0.0,0.0,151.0,0.95,40.0,0.0003912,0.9448,0.8843,0.9097,1.0,0.9637,1.0,0.0,0.0,76.0,0.974,1.215e-17,-4.9327807031361,1.0,1.0,1.0,True,True
YBL101C,YPR030W,0.341092,0.339875,0.341092,True,6,12,YBL101C_YPR030W,YBL101C,YPR030W,False,"{'YNL134C', 'YBL036C', 'YNL117W', 'YER136W', 'YPL183C', 'YLR420W', 'YER177W', 'YDR099W', 'YDR035W', 'YNL015W', 'YKL024C', 'YBR035C', 'YDR304C', 'YHR087W', 'YBR149W', 'YKR066C', 'YPL111W'}",set(),17,0,set(),17,0,0.0,0.0,YBL101C,YPR030W,P38167,Q12734,1.0,1.0,0.0,0.0,0.0,0.0,2194.0,2208.0,0.305,0.297,1193.0,1199.0,9.860000000000001e-78,4.167e-80,0.5113,0.5033,0.5113,0.5016,0.5095,0.5033,1.0,1.0,0.7554,0.7386,1.0,1.0,0.0,0.0,0.0,0.0,499.0,505.0,0.36,0.379,2.286e-146,2.474e-148,470,0.0044492478701828,1.1070749488475178,63.06805676221848,0.0526256498080079,0.0262118940530176,2.818902533457081,160.0566434264183,0.935929421962977,0.0259887533148407,1.7737829003133263,100.5726833343506,0.1692162008913849,0.0098176542284563,1.6279525011265976,92.58086681365968,0.15507192697867,0.0185546875,0.3416,8.66,0.0002604514015055,1.0,0.0,0.0,2194.0,0.297,1193.0,4.167e-80,0.5033,0.5016,0.5033,1.0,0.7386,1.0,0.0,0.0,499.0,0.36,2.474e-148,-3.03503954661695,0.209,,0.737,False,False
YJR127C,YML081W,0.385507,0.385507,0.42526,True,2,15,YJR127C_YML081W,YJR127C,YML081W,False,"{'YPR135W', 'YDR480W', 'YPL036W', 'YDL223C', 'YBR097W', 'YNL229C'}","{'YMR142C', 'YBL027W', 'YER099C', 'YER177W'}",6,4,set(),10,0,0.0,0.0,YJR127C,YML081W,P46974,Q04545,1.0,1.0,0.0,0.0,0.0,0.0,2634.0,2583.0,0.383,0.387,1334.0,1330.0,7.847999999999999e-68,1.216e-67,0.5187,0.523,0.472,0.523,0.5187,0.5212,1.0,1.0,0.7703,0.7627,1.0,1.0,0.0,0.0,0.0,0.0,827.0,852.0,0.413,0.41,6.5509999999999996e-254,2.856e-264,4591,0.0183862199791866,2.2438068906168125,127.33491241931917,0.425160185323145,0.0084605845913885,1.5834081794620911,90.0807072520256,0.1613086749843933,0.0164647551506409,1.4308870834525282,81.6623649597168,0.0731230149420153,0.0087468593677821,1.5227874172398013,86.94826006889343,0.1293249959022908,0.0419921875,0.4106,10.38,0.0003825536556423,1.0,0.0,0.0,2583.0,0.383,1330.0,7.847999999999999e-68,0.5187,0.472,0.5187,1.0,0.7627,1.0,0.0,0.0,827.0,0.41,2.856e-264,-3.076234097490013,0.002,,,False,False
YFL009W,YKR036C,0.0821566,0.0821566,0.0995334,False,5,21,YFL009W_YKR036C,YFL009W,YKR036C,False,{'YDL132W'},"{'YML042W', 'YJR064W', 'YDR212W', 'YDL143W', 'YJL111W', 'YJL008C', 'YIL142W', 'YJL014W', 'YIR006C', 'YDR188W'}",1,10,set(),11,0,0.0,0.0,YFL009W,YKR036C,P07834,P36130,725.0,1350.0,9.0,25.0,31.0,32.0,468.0,464.0,0.166,0.157,691.0,703.0,8.736e-24,4.800999999999999e-22,0.3617,0.3739,0.3036,0.3739,0.3617,0.3665,1.0,1.0,0.5156,0.5534,221.0,,5.0,,97.0,,87.0,,0.237,,6.206e-16,,2988,0.0288696049212754,2.789512791076619,158.4672641158104,0.7929705192985451,0.3265654212188985,11.228148893272914,620.2665746212006,130.98255264477345,0.1895023834018937,4.299850113184667,243.89345061779025,2.5354009515137426,0.1379804933342326,5.954000684307787,329.5941067934036,9.459262701201617,0.22607421875,0.985,24.95,0.007851904790552,725.0,9.0,31.0,464.0,0.157,691.0,8.736e-24,0.3617,0.3036,0.3617,1.0,0.5156,221.0,5.0,97.0,87.0,0.237,6.206e-16,6.326037664310645,0.039,0.391,,False,False
YFL009W,YJL112W,0.101412,0.101412,0.1106439999999999,False,5,21,YFL009W_YJL112W,YFL009W,YJL112W,False,{'YDL132W'},"{'YJR064W', 'YDR212W', 'YDL143W', 'YJL111W', 'YJL008C', 'YIL142W', 'YJL014W', 'YDR188W'}",1,8,set(),9,0,0.0,0.0,YFL009W,YJL112W,P07834,P47025,928.0,1891.0,12.0,31.0,31.0,32.0,441.0,418.0,0.127,0.131,791.0,836.0,2.0559999999999999e-22,5.425e-21,0.3423,0.343,0.3164,0.343,0.3423,0.3369,1.0,1.0,0.5381,0.5479,364.0,244.0,9.0,4.0,119.0,98.0,76.0,82.0,0.245,0.232,1.392e-12,1.795e-14,2987,0.0306548387668256,2.873730947687775,163.4922931790352,0.8738119335596377,0.3516725215903847,11.687853023255496,640.8815539479256,150.50826964909157,0.189841704995389,4.285785225695391,242.50380420684812,2.449555872797262,0.1495303848324348,6.2039920481256345,341.5269867181778,10.794482028067415,0.19140625,0.933,23.86,0.0056311377005368,928.0,12.0,31.0,418.0,0.127,791.0,2.0559999999999999e-22,0.3423,0.3164,0.3369,1.0,0.5381,244.0,4.0,98.0,76.0,0.232,1.795e-14,6.752057236763577,0.044,0.198,0.719,False,False
YDL080C,YLR134W,0.466338,0.466338,0.50444,False,6,27,YDL080C_YLR134W,YDL080C,YLR134W,False,set(),"{'YLR044C', 'YGL064C', 'YCR054C', 'YGR087C', 'YEL020C'}",0,5,set(),5,0,0.0,0.0,YDL080C,YLR134W,Q07471,P16467,2.0,5.0,1.0,2.0,0.0,1.0,3067.0,3125.0,0.498,0.498,568.0,568.0,6.198000000000001e-78,8.797e-81,0.9721,0.9722,0.8995,0.9722,0.9721,0.9693,1.0,1.0,0.8923,0.899,5.0,8.0,1.0,2.0,3.0,5.0,617.0,617.0,0.509,0.509,6.247e-194,9.444e-195,1442,0.0095987247568654,1.6151612581606103,90.90699803829192,0.1607246183954605,0.1027095569774975,5.691671700185196,321.8037588000297,10.767189335443662,0.1555492073899969,3.4811997974072786,198.3475196957588,1.161092880820053,0.0380428767460189,3.117056736348076,176.8636121749878,1.1029576083609318,0.0888671875,0.4526,11.57,0.0003712194464772,2.0,1.0,0.0,3067.0,0.498,568.0,8.797e-81,0.9721,0.8995,0.9693,1.0,0.8923,5.0,1.0,3.0,617.0,0.509,9.444e-195,-1.8228768052250386,0.003,0.714,0.01,False,False
YDL080C,YGR087C,0.46798,0.46798,0.5062169999999999,False,6,27,YDL080C_YGR087C,YDL080C,YGR087C,False,set(),"{'YLR134W', 'YLR044C'}",0,2,set(),2,0,0.0,0.0,YDL080C,YGR087C,Q07471,P26263,3.0,5.0,2.0,2.0,0.0,1.0,3055.0,3101.0,0.497,0.497,567.0,567.0,1.432e-77,1.111e-80,0.9729,0.9728,0.9002,0.9728,0.9729,0.9698,1.0,1.0,0.8934,0.8971,6.0,8.0,2.0,2.0,3.0,5.0,605.0,608.0,0.51,0.51,8.602999999999999e-190,1.2100000000000001e-191,1440,0.0093025789285919,1.5915072923112474,89.71202367544174,0.147460814433465,0.1149896500628597,6.096766037191247,344.2266808152199,14.158041310146864,0.125773969498824,3.12997872733572,177.53696131706238,0.8139824150338738,0.042141194998324,3.286083829174365,186.0294017791748,1.275396608968702,0.07958984375,0.4277,10.95,0.0003417474082727,3.0,2.0,0.0,3055.0,0.497,567.0,1.111e-80,0.9728,0.9002,0.9698,1.0,0.8934,6.0,2.0,3.0,605.0,0.51,1.2100000000000001e-191,-1.8100735427084607,0.003,,0.025,False,False
YDL080C,YLR044C,0.4778329999999999,0.4778329999999999,0.516874,True,6,27,YDL080C_YLR044C,YDL080C,YLR044C,False,set(),"{'YDR050C', 'YLR359W', 'YCL030C', 'YCR012W', 'YGR180C', 'YDR155C', 'YOR375C', 'YBR196C', 'YJR009C', 'YFR044C', 'YHR128W', 'YJR139C', 'YDR023W', 'YIL053W', 'YDR502C', 'YOR027W', 'YJR111C', 'YAL038W', 'YIL094C', 'YLR354C', 'YGR240C', 'YER057C', 'YLR027C', 'YKL060C', 'YGR254W', 'YOL109W', 'YFR053C', 'YPL061W', 'YLR134W', 'YIL051C', 'YBL016W', 'YDL055C', 'YJR104C', 'YHR174W', 'YDR226W', 'YAL003W', 'YCL043C', 'YGL148W', 'YOR374W', 'YOR020C', 'YBR218C', 'YLL024C', 'YKL152C', 'YGL009C', 'YLR259C', 'YBL076C', 'YLL050C', 'YGR192C', 'YKR025W', 'YKL056C', 'YGR087C', 'YER055C', 'YHR179W', 'YPR074C', 'YER091C'}",0,55,set(),55,0,0.0,0.0,YDL080C,YLR044C,Q07471,P06169,1.0,5.0,0.0,2.0,0.0,1.0,3089.0,3164.0,0.505,0.506,568.0,567.0,2.1460000000000002e-78,1.45e-80,0.9735,0.9745,0.9008,0.9745,0.9735,0.9716,1.0,1.0,0.8938,0.8991,2.0,8.0,0.0,2.0,1.0,5.0,631.0,634.0,0.516,0.516,9.238e-199,1.27e-200,1441,0.0108423849596147,1.7163155590452273,96.58086723089218,0.190720642155507,0.1060112886838949,5.771018838939429,327.3236919641495,11.174395561895231,0.2018270998794072,4.051302906030542,231.1552356481552,2.132634393108773,0.0403769414097795,3.210954912328823,182.2446732521057,1.2169006819031487,0.10498046875,0.4763,12.06,0.0004672391023178,1.0,0.0,0.0,3089.0,0.505,567.0,1.45e-80,0.9735,0.9008,0.9716,1.0,0.8938,2.0,0.0,1.0,631.0,0.516,1.27e-200,-1.4589883388978544,0.003,0.567,0.025,False,False
YKL145W,YOR117W,0.321199,0.321199,0.345622,False,6,31,YKL145W_YOR117W,YKL145W,YOR117W,True,"{'YKL206C', 'YPR108W', 'YER094C', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YOR259C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YDL097C', 'YHR027C', 'YPR103W', 'YCR076C', 'YOR362C', 'YEL071W', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YLR199C', 'YBL041W', 'YOL038W', 'YIL075C', 'YLR421C', 'YML092C', 'YGR232W', 'YDR394W', 'YBR272C', 'YFR004W', 'YDR427W'}","{'YMR100W', 'YKL206C', 'YPR108W', 'YER094C', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YOR259C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YDL097C', 'YHR027C', 'YPR103W', 'YCR076C', 'YOR362C', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YJL209W', 'YLR199C', 'YBL041W', 'YPL028W', 'YIL075C', 'YGR232W', 'YLR421C', 'YKR090W', 'YOL038W', 'YDR394W', 'YML092C', 'YBR272C', 'YFR004W', 'YDR427W'}",45,48,"{'YKL206C', 'YER094C', 'YPR108W', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR004W', 'YFR050C', 'YOR259C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YHR027C', 'YDL097C', 'YCR076C', 'YPR103W', 'YOR362C', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YLR199C', 'YBL041W', 'YOL038W', 'YIL075C', 'YLR421C', 'YML092C', 'YGR232W', 'YDR394W', 'YBR272C', 'YDR427W'}",49,44,0.8979591836734694,96.6671988446693,YKL145W,YOR117W,P33299,P33297,128.0,175.0,2.0,3.0,30.0,31.0,1383.0,1378.0,0.358,0.357,452.0,459.0,1.02e-43,3.0890000000000005e-42,0.7652,0.7635,0.7128,0.7635,0.7652,0.7579,1.0,1.0,0.8068,0.8052,104.0,108.0,3.0,2.0,57.0,57.0,278.0,283.0,0.477,0.484,1.028e-79,6.551e-82,4730,0.0172832480882105,2.139508425006088,121.9214173555374,0.3734427463265975,0.0571257387671465,4.394225017904861,247.8432918190956,4.297536903202864,0.080060378563654,2.4574790489564715,135.3033304810524,0.3970474459834445,0.025362233531592,2.5411969502976475,143.27408742904663,0.6212049591823187,0.04248046875,0.386,9.81,0.0002507345213296,128.0,2.0,30.0,1378.0,0.357,452.0,1.02e-43,0.7635,0.7128,0.7579,1.0,0.8052,104.0,2.0,57.0,278.0,0.477,6.551e-82,-1.6776784348005722,1.0,1.0,,True,True
YKL145W,YOR259C,0.327623,0.327623,0.350114,False,6,31,YKL145W_YOR259C,YKL145W,YOR259C,True,"{'YKL206C', 'YOR117W', 'YPR108W', 'YER094C', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YDL097C', 'YHR027C', 'YPR103W', 'YCR076C', 'YOR362C', 'YEL071W', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YLR199C', 'YBL041W', 'YOL038W', 'YIL075C', 'YLR421C', 'YML092C', 'YGR232W', 'YDR394W', 'YBR272C', 'YFR004W', 'YDR427W'}","{'YOR117W', 'YPR108W', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YDL097C', 'YHR027C', 'YPR103W', 'YNL250W', 'YOR362C', 'YGR135W', 'YNL155W', 'YLR430W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YER012W', 'YHR200W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YIL075C', 'YGR232W', 'YKR090W', 'YLR421C', 'YOL038W', 'YDR394W', 'YML092C', 'YDR040C', 'YFR004W', 'YDR427W'}",45,40,"{'YOR117W', 'YPR108W', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YHR027C', 'YDL097C', 'YPR103W', 'YGR135W', 'YOR362C', 'YNL155W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YER012W', 'YHR200W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YIL075C', 'YGR232W', 'YLR421C', 'YOL038W', 'YML092C', 'YDR394W', 'YFR004W', 'YDR427W'}",49,36,0.7346938775510204,73.84127654146366,YKL145W,YOR259C,P33299,P53549,103.0,196.0,1.0,3.0,30.0,31.0,1435.0,1344.0,0.344,0.349,458.0,467.0,6.968999999999999e-45,6.362e-43,0.7481,0.7275,0.7017,0.7275,0.7481,0.7213,1.0,1.0,0.8442,0.8334,84.0,64.0,1.0,1.0,52.0,49.0,297.0,301.0,0.468,0.468,3.298e-86,4.9259999999999995e-88,4731,0.0213578468117402,2.381993900579375,135.60040378570557,0.4886867272113374,0.0906059247265649,5.630986541401598,315.4419644474983,10.502294609223918,0.1045051248680581,2.7969535931607097,153.5945954322815,0.6106012612029819,0.038484180741364,3.1321130758150484,176.64594054222107,1.1515405799181044,0.13037109375,0.616,15.47,0.0012938562547846,103.0,1.0,30.0,1344.0,0.344,458.0,6.968999999999999e-45,0.7275,0.7017,0.7213,1.0,0.8334,64.0,1.0,49.0,297.0,0.468,4.9259999999999995e-88,-0.5860525778432746,0.915,0.885,1.0,True,True
