A1_ensembl,A2_ensembl,sequence_identity,min_sequence_identity,max_seq_id,closest,family_size,family_id,sorted_gene_pair,A1_entrez,A2_entrez,interact,A1_ppi,A2_ppi,n_A1_ppi,n_A2_ppi,shared_ppi,n_total_ppi,n_shared_ppi,shared_ppi_jaccard_idx,fet_ppi_overlap,A1,A2,uniprot_id_A1,uniprot_id_A2,A1_A2_rank_struct,A2_A1_rank_struct,A1_nb_human_struct,A2_nb_human_struct,A1_nb_taxid_struct,A2_nb_taxid_struct,A1_bits_struct,A2_bits_struct,A1_fident_struct,A2_fident_struct,A1_alnlen_struct,A2_alnlen_struct,A1_evalue_struct,A2_evalue_struct,A1_alntmscore_struct,A2_alntmscore_struct,A1_qtmscore_struct,A2_qtmscore_struct,A1_ttmscore_struct,A2_ttmscore_struct,A1_prob_struct,A2_prob_struct,A1_lddt_struct,A2_lddt_struct,A1_A2_rank_seq,A2_A1_rank_seq,A1_nb_selfSP_seq,A2_nb_selfSP_seq,A1_nb_taxid_seq,A2_nb_taxid_seq,A1_A2_bits_seq,A2_A1_bits_seq,A1_A2_id_percent_seq,A2_A1_id_percent_seq,A1_A2_evalue_seq,A2_A1_evalue_seq,Unnamed: 0,esm2_beginning_of_sequence_cosine,esm2_beginning_of_sequence_euclidean,esm2_beginning_of_sequence_manhattan,esm2_beginning_of_sequence_ts_ss,esm2_end_of_sequence_cosine,esm2_end_of_sequence_euclidean,esm2_end_of_sequence_manhattan,esm2_end_of_sequence_ts_ss,esm2_mean_of_residue_tokens_cosine,esm2_mean_of_residue_tokens_euclidean,esm2_mean_of_residue_tokens_manhattan,esm2_mean_of_residue_tokens_ts_ss,esm2_mean_of_special_tokens_cosine,esm2_mean_of_special_tokens_euclidean,esm2_mean_of_special_tokens_manhattan,esm2_mean_of_special_tokens_ts_ss,ProtT5_per-protein_cosine,ProtT5_per-protein_euclidean,ProtT5_per-protein_manhattan,ProtT5_per-protein_ts_ss,rank_struct,selfSP_struct,taxid_struct,bits_struct,fident_struct,alnlen_struct,evalue_struct,alntmscore_struct,qtmscore_struct,ttmscore_struct,prob_struct,lddt_struct,rank_seq,selfSP_seq,taxid_seq,bits_seq,id_percent_seq,evalue_seq,dim1_PCA,Query Strain ID,Query allele name,Array Strain ID,Genetic interaction score (ε),P-value,SL
YDL245C,YDR497C,0.185185,0.179795,0.185185,False,27,1,YDL245C_YDR497C,YDL245C,YDR497C,False,set(),"{'YML001W', 'YKL041W', 'YKR035W-A'}",0,3,set(),3,0,0.0,0.0,YDL245C,YDR497C,P54854,P30605,252.0,305.0,20.0,8.0,17.0,33.0,1032.0,1026.0,0.238,0.236,592.0,588.0,3.48e-24,1.001e-23,0.7565,0.7571,0.7565,0.7361,0.7472,0.7571,1.0,1.0,0.6963,0.6879,88.0,121.0,21.0,15.0,32.0,35.0,166.0,167.0,0.283,0.281,4.0489999999999997e-41,2.459e-41,1753,0.0107997248437661,1.6867754425343713,96.03981083631516,0.172518100163351,0.0439564617183718,3.5495107547945497,202.32268553972244,1.7967125652791818,0.25085407244428,4.345845850245715,246.790340423584,2.6102892026336364,0.0187370355451369,2.173424345695932,124.05117177963255,0.3767879080704518,0.123046875,0.5312,13.55,0.0006355170587683,252.0,8.0,17.0,1026.0,0.236,588.0,3.48e-24,0.7565,0.7361,0.7472,1.0,0.6879,88.0,15.0,32.0,166.0,0.281,2.459e-41,-0.6363588899605767,YDL245C_sn2354,hxt15,YDR497C_dma1223,-0.0081,0.4258,False
YDL245C,YOL103W,0.194004,0.180624,0.194004,False,27,1,YDL245C_YOL103W,YDL245C,YOL103W,False,set(),set(),0,0,set(),0,0,0.0,0.0,YDL245C,YOL103W,P54854,P30606,237.0,269.0,19.0,5.0,15.0,32.0,1041.0,1054.0,0.25,0.251,587.0,585.0,2.589e-24,6.002e-25,0.7576,0.7591,0.7576,0.7092,0.7488,0.7591,1.0,1.0,0.7017,0.6961,69.0,92.0,20.0,13.0,25.0,27.0,181.0,175.0,0.309,0.302,5.226e-46,9.065e-44,1768,0.0134157140514683,1.8825243547642423,107.07513290643692,0.2429890064364062,0.0412335789553411,3.413137251118993,194.96038872003555,1.537676542863236,0.2692547284482642,4.510675323912858,256.149012029171,2.915442372331694,0.0190735098208151,2.1930439042635568,124.86208152770996,0.3868576577064883,0.125,0.5723,14.336,0.0008666218439675,237.0,5.0,15.0,1041.0,0.25,585.0,6.002e-25,0.7576,0.7092,0.7488,1.0,0.6961,69.0,13.0,25.0,175.0,0.302,5.226e-46,-0.5456380124936108,YDL245C_sn2354,hxt15,YOL103W_dma4392,-0.005,0.282,False
YDL245C,YBR241C,0.174603,0.174603,0.202869,False,27,1,YBR241C_YDL245C,YDL245C,YBR241C,False,set(),set(),0,0,set(),0,0,0.0,0.0,YBR241C,YDL245C,P38142,P54854,582.0,762.0,21.0,27.0,37.0,38.0,832.0,784.0,0.187,0.183,532.0,506.0,1.513e-19,8.589e-19,0.7527,0.7729,0.7527,0.6739,0.7368,0.7729,1.0,1.0,0.6737,0.6254,132.0,206.0,10.0,22.0,46.0,67.0,118.0,113.0,0.252,0.252,4.1000000000000004e-26,2.9869999999999998e-24,953,0.0145405700609841,1.9582905225564684,111.39935559034348,0.2680015783965507,0.2579247934737806,9.43944161219185,524.1849477887154,67.2225352495251,0.2560550876115994,4.490889303389574,255.7998531460762,2.583543498166496,0.0995158606861928,4.965245021232174,276.4048991203308,4.990662280300901,0.2802734375,0.816,20.88,0.0026719467483384,582.0,21.0,37.0,784.0,0.183,506.0,1.513e-19,0.7527,0.6739,0.7368,1.0,0.6254,132.0,10.0,46.0,113.0,0.252,4.1000000000000004e-26,3.709496843292899,YDL245C_sn2354,hxt15,YBR241C_dma416,-0.0017,0.4789,False
YDL245C,YLR081W,0.57672,0.569686,0.57672,False,27,1,YDL245C_YLR081W,YDL245C,YLR081W,False,set(),{'YML051W'},0,1,set(),1,0,0.0,0.0,YDL245C,YLR081W,P54854,P13181,14.0,14.0,12.0,12.0,1.0,1.0,2204.0,2229.0,0.571,0.562,558.0,578.0,2.28e-47,3.227e-49,0.816,0.8051,0.8038,0.7958,0.7946,0.8051,1.0,1.0,0.8253,0.8242,5.0,18.0,3.0,13.0,1.0,4.0,665.0,661.0,0.613,0.598,2.931e-211,9.489e-210,1765,0.0030520542081444,0.8965091876253123,51.07763826847077,0.0307041431489234,0.0380073109333143,3.321583314800336,188.60198640823364,1.5542762742037577,0.0949841838177364,2.691144521339239,152.67468893527985,0.6165049671677757,0.0128367717037239,1.7866633447072628,101.70745825767516,0.1957605679170735,0.03173828125,0.2659,6.695,6.549993039813689e-05,14.0,12.0,1.0,2204.0,0.562,558.0,3.227e-49,0.8051,0.7958,0.7946,1.0,0.8242,5.0,3.0,1.0,661.0,0.598,2.931e-211,-3.314796560499513,YDL245C_sn2354,hxt15,YLR081W_dma3161,-0.0049,0.4018,False
YDL245C,YMR011W,0.507937,0.507937,0.532347,False,27,1,YDL245C_YMR011W,YDL245C,YMR011W,False,set(),"{'YLR024C', 'YMR266W', 'YLR413W', 'YPR124W', 'YDR432W', 'YOL030W', 'YOL021C', 'YLR214W'}",0,8,set(),8,0,0.0,0.0,YDL245C,YMR011W,P54854,P23585,15.0,15.0,13.0,12.0,1.0,1.0,2197.0,2305.0,0.535,0.532,545.0,545.0,4.771e-46,4.520999999999999e-47,0.8571,0.864,0.8201,0.864,0.8571,0.8513,1.0,1.0,0.8243,0.8792,18.0,19.0,13.0,14.0,4.0,4.0,608.0,601.0,0.571,0.55,1.4280000000000002e-191,1.268e-189,1766,0.004239379810731,1.0596173905506587,60.23395192623138,0.051002256202065,0.0653082025630695,4.422410238506783,250.51416617631912,4.291745508637916,0.1248759341848652,3.063315995865408,173.46688431501389,0.9284948557191368,0.022136022379784,2.360696519271149,133.67102479934692,0.4785046835359961,0.03173828125,0.2913,7.305,8.449540211739903e-05,15.0,12.0,1.0,2197.0,0.532,545.0,4.520999999999999e-47,0.8571,0.8201,0.8513,1.0,0.8243,18.0,13.0,4.0,601.0,0.55,1.4280000000000002e-191,-2.4766206532271107,YDL245C_sn2354,hxt15,YMR011W_dma3631,0.0296,0.2135,False
YDL245C,YHR092C,0.534392,0.526042,0.534392,False,27,1,YDL245C_YHR092C,YDL245C,YHR092C,False,set(),set(),0,0,set(),0,0,0.0,0.0,YDL245C,YHR092C,P54854,P32467,11.0,15.0,9.0,12.0,1.0,1.0,2222.0,2242.0,0.542,0.525,551.0,571.0,5.774e-47,2.0599999999999997e-47,0.8351,0.8137,0.8128,0.8016,0.8016,0.8137,1.0,1.0,0.8333,0.8576,11.0,19.0,8.0,14.0,2.0,4.0,632.0,632.0,0.585,0.576,7.366e-200,1.071e-199,1758,0.0031628579848539,0.9126035558328968,52.045569717884064,0.0321389460234039,0.0267960000616911,2.790093522106208,159.01944988965988,0.9129122955158548,0.0849369079223198,2.552122105203676,145.13541382551193,0.5157711427580686,0.0097060618714379,1.558603893549311,88.87206506729126,0.1350650611815687,0.0283203125,0.2754,6.98,7.06511377742841e-05,11.0,9.0,1.0,2222.0,0.525,551.0,2.0599999999999997e-47,0.8137,0.8016,0.8016,1.0,0.8333,11.0,8.0,2.0,632.0,0.576,7.366e-200,-3.5033586046753324,YDL245C_sn2354,hxt15,YHR092C_dma2145,0.0185,0.3261,False
YDL245C,YHR096C,0.492063,0.471284,0.492063,False,27,1,YDL245C_YHR096C,YDL245C,YHR096C,False,set(),"{'YDL155W', 'YOR197W', 'YDL204W', 'YOL140W', 'YPL211W', 'YGR252W', 'YLR024C', 'YNR029C', 'YHR118C', 'YPL036W', 'YGR286C', 'YDL222C', 'YGR130C', 'YDL223C', 'YFR001W', 'YER059W', 'YBR072W', 'YML080W', 'YKL027W', 'YDR411C', 'YDL090C', 'YDR394W', 'YKL064W', 'YOL126C', 'YFR046C'}",0,25,set(),25,0,0.0,0.0,YDL245C,YHR096C,P54854,P38695,18.0,16.0,14.0,12.0,1.0,1.0,2036.0,2110.0,0.488,0.5,586.0,561.0,9.981e-45,4.307e-45,0.7963,0.8082,0.7963,0.7681,0.7851,0.8001,1.0,1.0,0.8057,0.846,19.0,19.0,14.0,14.0,4.0,4.0,603.0,602.0,0.56,0.554,7.598999999999999e-190,4.681e-189,1760,0.0054669449965061,1.2023435575054862,68.2685284614563,0.069065977691276,0.0180638473692444,2.275587491242045,129.7767123579979,0.4560977069556381,0.1499866439041973,3.349780741841882,190.7475644350052,1.1994326223600942,0.0084973757960266,1.4618745189341615,83.14044332504272,0.1189371900276535,0.03515625,0.292,7.383,9.673392229282452e-05,16.0,12.0,1.0,2036.0,0.488,561.0,4.307e-45,0.7963,0.7681,0.7851,1.0,0.8057,19.0,14.0,4.0,602.0,0.554,7.598999999999999e-190,-2.91210986100033,YDL245C_sn2354,hxt15,YHR096C_dma2141,0.0207,0.3236,False
YDL245C,YHR094C,0.520282,0.517544,0.520282,False,27,1,YDL245C_YHR094C,YDL245C,YHR094C,False,set(),"{'YMR307W', 'YDR011W', 'YGR281W', 'YNR060W', 'YOR153W', 'YBR078W', 'YLR413W'}",0,7,set(),7,0,0.0,0.0,YDL245C,YHR094C,P54854,P32465,6.0,13.0,5.0,11.0,0.0,1.0,2378.0,2402.0,0.537,0.537,549.0,549.0,3.409e-48,4.599e-48,0.8875,0.8914,0.8597,0.8595,0.8566,0.864,1.0,1.0,0.8549,0.8636,8.0,19.0,6.0,14.0,1.0,4.0,637.0,636.0,0.548,0.55,1.3810000000000001e-201,3.468e-201,1759,0.0040458824566859,1.03382690168507,58.75643742084503,0.0464755069203002,0.0223200890342877,2.525994156307164,143.43094593286514,0.6150239104705486,0.1248358697440089,3.06192301640039,173.29046046733856,0.9363115320195344,0.0086969642141254,1.4762927470299954,83.94373536109924,0.1172073092024225,0.0234375,0.2656,6.727,6.407876689959967e-05,6.0,5.0,0.0,2378.0,0.537,549.0,3.409e-48,0.8875,0.8595,0.8566,1.0,0.8549,8.0,6.0,1.0,636.0,0.548,1.3810000000000001e-201,-3.573141664530366,YDL245C_sn2354,hxt15,YHR094C_dma2143,0.0245,0.2487,False
YDL245C,YJL214W,0.520282,0.518453,0.520282,False,27,1,YDL245C_YJL214W,YDL245C,YJL214W,False,set(),set(),0,0,set(),0,0,0.0,0.0,YDL245C,YJL214W,P54854,P40886,10.0,13.0,8.0,12.0,1.0,0.0,2226.0,2291.0,0.533,0.536,555.0,555.0,8.633e-48,4.924e-48,0.8143,0.8169,0.7982,0.7982,0.7956,0.8008,1.0,1.0,0.8298,0.8727,13.0,19.0,9.0,14.0,3.0,4.0,625.0,618.0,0.58,0.568,1.926e-197,5.47e-195,1761,0.003698422128698,0.9871431231309832,56.15418428182602,0.0400224309146074,0.0508670507830402,3.915791186830536,223.0032908320427,2.982775474628131,0.1333445095238943,3.159952764149008,179.22269862890244,1.0267865075685672,0.0179862999244769,2.1220402448941966,120.71957349777222,0.3338557078996043,0.02099609375,0.2495,6.355,5.238824995169988e-05,10.0,8.0,0.0,2226.0,0.533,555.0,4.924e-48,0.8143,0.7982,0.7956,1.0,0.8298,13.0,9.0,3.0,618.0,0.568,1.926e-197,-2.7612981425781418,YDL245C_sn2354,hxt15,YJL214W_dma2595,0.0137,0.4029,False
YDL245C,YFL011W,0.506173,0.506173,0.525641,False,27,1,YDL245C_YFL011W,YDL245C,YFL011W,False,set(),set(),0,0,set(),0,0,0.0,0.0,YDL245C,YFL011W,P54854,P43581,13.0,14.0,11.0,12.0,1.0,1.0,2207.0,2321.0,0.529,0.53,548.0,541.0,1.8060000000000003e-46,3.6599999999999997e-47,0.837,0.8505,0.8076,0.8431,0.837,0.8317,1.0,1.0,0.837,0.8935,15.0,19.0,10.0,14.0,4.0,4.0,618.0,610.0,0.571,0.571,5.035e-195,1.216e-192,1755,0.0054789261703527,1.2042288022001524,68.48316091299057,0.0712080705395914,0.0376007247436793,3.2663981911395426,185.81032866239548,1.2918683284818404,0.1371542400363832,3.2010107175661573,182.30567663908005,1.082656074201689,0.014281154637771,1.889187132672845,107.926922082901,0.2330224486616217,0.0400390625,0.2834,7.07,9.449346789962357e-05,13.0,11.0,1.0,2207.0,0.529,541.0,3.6599999999999997e-47,0.837,0.8076,0.8317,1.0,0.837,15.0,10.0,4.0,610.0,0.571,5.035e-195,-2.848226860486225,YDL245C_sn2354,hxt15,YFL011W_dma1486,-0.0015,0.4802,False
