A1_ensembl,A2_ensembl,sequence_identity,min_sequence_identity,max_seq_id,closest,family_size,family_id,sorted_gene_pair,A1_entrez,A2_entrez,interact,A1_ppi,A2_ppi,n_A1_ppi,n_A2_ppi,shared_ppi,n_total_ppi,n_shared_ppi,shared_ppi_jaccard_idx,fet_ppi_overlap,A1,A2,uniprot_id_A1,uniprot_id_A2,A1_A2_rank_struct,A2_A1_rank_struct,A1_nb_human_struct,A2_nb_human_struct,A1_nb_taxid_struct,A2_nb_taxid_struct,A1_bits_struct,A2_bits_struct,A1_fident_struct,A2_fident_struct,A1_alnlen_struct,A2_alnlen_struct,A1_evalue_struct,A2_evalue_struct,A1_alntmscore_struct,A2_alntmscore_struct,A1_qtmscore_struct,A2_qtmscore_struct,A1_ttmscore_struct,A2_ttmscore_struct,A1_prob_struct,A2_prob_struct,A1_lddt_struct,A2_lddt_struct,A1_A2_rank_seq,A2_A1_rank_seq,A1_nb_selfSP_seq,A2_nb_selfSP_seq,A1_nb_taxid_seq,A2_nb_taxid_seq,A1_A2_bits_seq,A2_A1_bits_seq,A1_A2_id_percent_seq,A2_A1_id_percent_seq,A1_A2_evalue_seq,A2_A1_evalue_seq,Unnamed: 0,esm2_beginning_of_sequence_cosine,esm2_beginning_of_sequence_euclidean,esm2_beginning_of_sequence_manhattan,esm2_beginning_of_sequence_ts_ss,esm2_end_of_sequence_cosine,esm2_end_of_sequence_euclidean,esm2_end_of_sequence_manhattan,esm2_end_of_sequence_ts_ss,esm2_mean_of_residue_tokens_cosine,esm2_mean_of_residue_tokens_euclidean,esm2_mean_of_residue_tokens_manhattan,esm2_mean_of_residue_tokens_ts_ss,esm2_mean_of_special_tokens_cosine,esm2_mean_of_special_tokens_euclidean,esm2_mean_of_special_tokens_manhattan,esm2_mean_of_special_tokens_ts_ss,ProtT5_per-protein_cosine,ProtT5_per-protein_euclidean,ProtT5_per-protein_manhattan,ProtT5_per-protein_ts_ss,rank_struct,selfSP_struct,taxid_struct,bits_struct,fident_struct,alnlen_struct,evalue_struct,alntmscore_struct,qtmscore_struct,ttmscore_struct,prob_struct,lddt_struct,rank_seq,selfSP_seq,taxid_seq,bits_seq,id_percent_seq,evalue_seq,dim1_PCA,BPO,CCO,MFO,same_func_go,same_func_ppi
YBR024W,YBR037C,0.541528,0.541528,0.552542,True,2,0,YBR024W_YBR037C,YBR024W,YBR037C,False,set(),set(),0,0,set(),0,0,0.0,0.0,YBR024W,YBR037C,P38072,P23833,1.0,1.0,0.0,0.0,0.0,0.0,1184.0,1221.0,0.551,0.536,303.0,302.0,8.189e-37,1.55e-37,0.7312,0.7422,0.7171,0.7422,0.7312,0.7367,1.0,1.0,0.85,0.8779,1.0,1.0,0.0,0.0,0.0,0.0,336.0,332.0,0.592,0.592,2.0370000000000002e-102,3.817e-101,608,0.0039465701462811,1.0205996250962837,57.91275036334992,0.0423744099331324,0.0171636868172102,2.449793607526898,139.68489956855774,0.62925598458544,0.0315606676477479,1.6437428370437348,93.51176732778548,0.0965948636991353,0.0080581628925531,1.4114984963907622,80.55085623264313,0.1068873408733324,0.029296875,0.3308,8.43,0.0001582257161468,1.0,0.0,0.0,1184.0,0.536,302.0,1.55e-37,0.7312,0.7171,0.7312,1.0,0.85,1.0,0.0,0.0,332.0,0.592,2.0370000000000002e-102,-3.871051001212182,0.806,0.835,1.0,True,True
YJL076W,YKR010C,0.1808239999999999,0.1808239999999999,0.2788589999999999,True,2,3,YJL076W_YKR010C,YJL076W,YKR010C,True,"{'YPR010C', 'YDL042C', 'YDL115C', 'YFR028C', 'YHR143W-A', 'YJR063W', 'YOR341W', 'YMR270C', 'YER099C', 'YNL113W', 'YKR092C', 'YBL025W', 'YOR340C', 'YPR110C', 'YDR028C', 'YJL148W', 'YOR210W', 'YNL248C', 'YBR154C', 'YGR159C', 'YER155C', 'YJL172W'}","{'YNL113W', 'YPR010C', 'YKR092C', 'YOR340C', 'YPR110C', 'YDL042C', 'YJL148W', 'YNL248C', 'YFR028C', 'YDR110W', 'YGR159C', 'YJR063W', 'YOR341W', 'YMR270C'}",22,14,"{'YNL113W', 'YPR010C', 'YKR092C', 'YDL042C', 'YOR340C', 'YPR110C', 'YJL148W', 'YNL248C', 'YFR028C', 'YGR159C', 'YJR063W', 'YOR341W', 'YMR270C'}",23,13,0.5652173913043478,30.077953077731145,YJL076W,YKR010C,P47035,Q02208,1.0,1.0,0.0,0.0,0.0,0.0,182.0,158.0,0.174,0.176,910.0,1013.0,7.378e-15,1.008e-12,0.1467,0.1411,0.1001,0.1411,0.1467,0.1392,1.0,1.0,0.651,0.7264,1.0,1.0,0.0,0.0,0.0,0.0,98.0,104.0,0.308,0.308,5.409e-19,3.955e-21,4390,0.0124502088693587,1.8290236714890376,103.89006751775742,0.2146926207986728,0.0648414043408861,4.377165869955765,250.5309175848961,3.860381815973668,0.0827333469390814,3.680745861001278,208.2301117181778,1.9542789553914308,0.0274802157497024,2.68376428792465,153.4906005859375,0.7189891956322498,0.08251953125,0.727,18.27,0.002579043110737,1.0,0.0,0.0,158.0,0.174,910.0,7.378e-15,0.1411,0.1001,0.1392,1.0,0.651,1.0,0.0,0.0,98.0,0.308,3.955e-21,0.2809502283841037,0.551,0.877,0.24,False,False
YCR024C-A,YEL017C-A,0.975,0.906977,0.975,True,2,10,YCR024C-A_YEL017C-A,YCR024C-A,YEL017C-A,False,"{'YDR141C', 'YMR054W', 'YGL160W', 'YER001W'}",{'YGL160W'},4,1,{'YGL160W'},4,1,0.25,2.992000909942456,YCR024C-A,YEL017C-A,P32903,P40975,1.0,1.0,0.0,0.0,0.0,0.0,151.0,155.0,0.95,0.95,40.0,40.0,0.001326,0.0003912,0.9448,0.9464,0.9448,0.8843,0.9097,0.9464,1.0,1.0,0.9848,0.9637,1.0,1.0,0.0,0.0,0.0,0.0,77.0,76.0,0.974,0.974,1.215e-17,3.194e-17,1222,0.0050477320658587,1.1124910272400452,63.543394684791565,0.0536153538174015,0.0065401009750077,1.3558576897011705,76.50230205059052,0.1160370162586966,0.0240309119444802,1.8010483917570288,101.35983437299728,0.1596523106901899,0.0041510098489687,0.9671603220722428,54.91596269607544,0.0341527248516938,0.02001953125,0.3938,9.93,0.0005478585778195,1.0,0.0,0.0,151.0,0.95,40.0,0.0003912,0.9448,0.8843,0.9097,1.0,0.9637,1.0,0.0,0.0,76.0,0.974,1.215e-17,-4.9327807031361,1.0,1.0,1.0,True,True
YDR252W,YPL037C,0.4899329999999999,0.464968,0.4899329999999999,True,2,23,YDR252W_YPL037C,YDR252W,YPL037C,False,"{'YGR134W', 'YCR093W', 'YJR011C', 'YDL165W', 'YAL021C', 'YPR072W', 'YER068W', 'YNR052C'}","{'YHR104W', 'YBR084W', 'YPR102C', 'YHR193C', 'YDL122W', 'YOR198C', 'YNL112W', 'YBR263W', 'YOR091W', 'YCR053W', 'YMR072W', 'YJL111W', 'YGL205W', 'YFL034C-A', 'YJL189W', 'YLR061W'}",8,16,set(),24,0,0.0,0.0,YDR252W,YPL037C,P40314,Q02642,1.0,1.0,0.0,0.0,0.0,0.0,489.0,478.0,0.553,0.514,130.0,142.0,2.532e-14,8.413e-15,0.7181,0.7005,0.6345,0.6414,0.6132,0.6716,1.0,1.0,0.8914,0.8808,3.0,6.0,0.0,1.0,1.0,4.0,141.0,144.0,0.571,0.571,1.057e-37,1.3549999999999999e-38,2088,0.0168431993343031,2.0844150328023603,118.79792332649232,0.3236702313670446,0.0894272574877818,5.039172851443754,285.3973544239998,5.407758556744488,0.1537931941776067,4.302540016185765,234.3646160364151,2.6750718507457694,0.0405410366399008,3.1413729228667857,178.01213788986206,1.1190685192300711,0.20166015625,1.066,26.86,0.0099408979458686,1.0,0.0,0.0,478.0,0.514,130.0,8.413e-15,0.7005,0.6345,0.6132,1.0,0.8808,3.0,0.0,1.0,141.0,0.571,1.3549999999999999e-38,-0.0843899248754815,0.532,0.807,1.0,True,True
YMR307W,YOL132W,0.257603,0.257603,0.305732,False,5,25,YMR307W_YOL132W,YMR307W,YOL132W,False,"{'YMR086W', 'YMR183C', 'YDL121C', 'YBR078W', 'YLR413W', 'YIL121W', 'YNL323W', 'YJL171C', 'YGR086C', 'YPL232W', 'YBR086C', 'YLR386W', 'YNL149C', 'YMR215W', 'YGL008C', 'YJL111W', 'YOL030W', 'YDR033W', 'YDL015C', 'YKL077W', 'YMR266W', 'YBR106W', 'YDR011W', 'YOR153W', 'YKL100C', 'YPL004C', 'YDR261C', 'YCR004C', 'YBR069C', 'YDR144C', 'YHR094C', 'YEL042W', 'YNL208W', 'YKR031C'}",set(),34,0,set(),34,0,0.0,0.0,YMR307W,YOL132W,P22146,Q08271,32.0,19.0,2.0,2.0,8.0,8.0,1078.0,1103.0,0.369,0.358,344.0,363.0,2.063e-32,2.125e-34,0.8554,0.8553,0.5325,0.6654,0.6299,0.6605,1.0,1.0,0.7665,0.7373,22.0,18.0,2.0,3.0,6.0,6.0,232.0,231.0,0.408,0.411,5.496000000000001e-63,1.133e-63,5379,0.009608645774041,1.6083485151447456,91.4600019454956,0.1495592943490367,0.0798388740360358,5.061891473750852,286.37507605552673,6.270180587999937,0.1599637209416704,3.644816856366501,208.2968725562096,1.2511315125508595,0.0324906958843371,2.8951687237835406,164.16848802566528,0.8646277128420975,0.19287109375,0.77,19.81,0.0035802928268882,19.0,2.0,8.0,1078.0,0.358,344.0,2.125e-34,0.8553,0.5325,0.6299,1.0,0.7373,18.0,2.0,6.0,231.0,0.408,1.133e-63,-0.4300350782412786,0.568,0.349,1.0,True,True
YMR307W,YOL030W,0.332737,0.332737,0.384298,False,5,25,YMR307W_YOL030W,YMR307W,YOL030W,True,"{'YMR086W', 'YMR183C', 'YDL121C', 'YBR078W', 'YLR413W', 'YIL121W', 'YNL323W', 'YJL171C', 'YGR086C', 'YPL232W', 'YBR086C', 'YLR386W', 'YNL149C', 'YMR215W', 'YGL008C', 'YJL111W', 'YDR033W', 'YDL015C', 'YKL077W', 'YMR266W', 'YBR106W', 'YDR011W', 'YOR153W', 'YKL100C', 'YPL004C', 'YDR261C', 'YCR004C', 'YBR069C', 'YDR144C', 'YHR094C', 'YEL042W', 'YNL208W', 'YKR031C'}","{'YBR086C', 'YMR183C', 'YBR106W', 'YMR215W', 'YGL008C', 'YMR011W', 'YBR078W'}",33,7,"{'YBR086C', 'YMR183C', 'YBR106W', 'YMR215W', 'YGL008C', 'YBR078W'}",34,6,0.1764705882352941,11.818475741973026,YMR307W,YOL030W,P22146,Q08193,18.0,22.0,1.0,1.0,8.0,8.0,1273.0,1276.0,0.357,0.328,557.0,585.0,1.203e-44,3.606e-42,0.6881,0.6847,0.5992,0.6847,0.6881,0.6807,1.0,1.0,0.7214,0.7672,14.0,6.0,1.0,0.0,6.0,4.0,313.0,313.0,0.443,0.401,2.339e-90,1.981e-91,5378,0.0036385219211763,0.988778954128936,56.14536798000336,0.0394587282615277,0.0497429509676399,4.038828951805492,231.5190989971161,2.73460064563598,0.0513556642723093,2.070507877481952,118.22311109304428,0.1854725534325078,0.0186379529733403,2.190743199701036,125.1085352897644,0.3593074432374884,0.06005859375,0.4375,11.14,0.0003886598739009,18.0,1.0,8.0,1273.0,0.328,557.0,1.203e-44,0.6847,0.5992,0.6807,1.0,0.7214,6.0,0.0,4.0,313.0,0.401,1.981e-91,-2.378853988721794,0.533,0.534,1.0,True,True
YDL080C,YLR134W,0.466338,0.466338,0.50444,False,6,27,YDL080C_YLR134W,YDL080C,YLR134W,False,set(),"{'YLR044C', 'YGL064C', 'YCR054C', 'YGR087C', 'YEL020C'}",0,5,set(),5,0,0.0,0.0,YDL080C,YLR134W,Q07471,P16467,2.0,5.0,1.0,2.0,0.0,1.0,3067.0,3125.0,0.498,0.498,568.0,568.0,6.198000000000001e-78,8.797e-81,0.9721,0.9722,0.8995,0.9722,0.9721,0.9693,1.0,1.0,0.8923,0.899,5.0,8.0,1.0,2.0,3.0,5.0,617.0,617.0,0.509,0.509,6.247e-194,9.444e-195,1442,0.0095987247568654,1.6151612581606103,90.90699803829192,0.1607246183954605,0.1027095569774975,5.691671700185196,321.8037588000297,10.767189335443662,0.1555492073899969,3.4811997974072786,198.3475196957588,1.161092880820053,0.0380428767460189,3.117056736348076,176.8636121749878,1.1029576083609318,0.0888671875,0.4526,11.57,0.0003712194464772,2.0,1.0,0.0,3067.0,0.498,568.0,8.797e-81,0.9721,0.8995,0.9693,1.0,0.8923,5.0,1.0,3.0,617.0,0.509,9.444e-195,-1.8228768052250386,0.003,0.714,0.01,False,False
YDL080C,YGR087C,0.46798,0.46798,0.5062169999999999,False,6,27,YDL080C_YGR087C,YDL080C,YGR087C,False,set(),"{'YLR134W', 'YLR044C'}",0,2,set(),2,0,0.0,0.0,YDL080C,YGR087C,Q07471,P26263,3.0,5.0,2.0,2.0,0.0,1.0,3055.0,3101.0,0.497,0.497,567.0,567.0,1.432e-77,1.111e-80,0.9729,0.9728,0.9002,0.9728,0.9729,0.9698,1.0,1.0,0.8934,0.8971,6.0,8.0,2.0,2.0,3.0,5.0,605.0,608.0,0.51,0.51,8.602999999999999e-190,1.2100000000000001e-191,1440,0.0093025789285919,1.5915072923112474,89.71202367544174,0.147460814433465,0.1149896500628597,6.096766037191247,344.2266808152199,14.158041310146864,0.125773969498824,3.12997872733572,177.53696131706238,0.8139824150338738,0.042141194998324,3.286083829174365,186.0294017791748,1.275396608968702,0.07958984375,0.4277,10.95,0.0003417474082727,3.0,2.0,0.0,3055.0,0.497,567.0,1.111e-80,0.9728,0.9002,0.9698,1.0,0.8934,6.0,2.0,3.0,605.0,0.51,1.2100000000000001e-191,-1.8100735427084607,0.003,,0.025,False,False
YDL080C,YLR044C,0.4778329999999999,0.4778329999999999,0.516874,True,6,27,YDL080C_YLR044C,YDL080C,YLR044C,False,set(),"{'YDR050C', 'YLR359W', 'YCL030C', 'YCR012W', 'YGR180C', 'YDR155C', 'YOR375C', 'YBR196C', 'YJR009C', 'YFR044C', 'YHR128W', 'YJR139C', 'YDR023W', 'YIL053W', 'YDR502C', 'YOR027W', 'YJR111C', 'YAL038W', 'YIL094C', 'YLR354C', 'YGR240C', 'YER057C', 'YLR027C', 'YKL060C', 'YGR254W', 'YOL109W', 'YFR053C', 'YPL061W', 'YLR134W', 'YIL051C', 'YBL016W', 'YDL055C', 'YJR104C', 'YHR174W', 'YDR226W', 'YAL003W', 'YCL043C', 'YGL148W', 'YOR374W', 'YOR020C', 'YBR218C', 'YLL024C', 'YKL152C', 'YGL009C', 'YLR259C', 'YBL076C', 'YLL050C', 'YGR192C', 'YKR025W', 'YKL056C', 'YGR087C', 'YER055C', 'YHR179W', 'YPR074C', 'YER091C'}",0,55,set(),55,0,0.0,0.0,YDL080C,YLR044C,Q07471,P06169,1.0,5.0,0.0,2.0,0.0,1.0,3089.0,3164.0,0.505,0.506,568.0,567.0,2.1460000000000002e-78,1.45e-80,0.9735,0.9745,0.9008,0.9745,0.9735,0.9716,1.0,1.0,0.8938,0.8991,2.0,8.0,0.0,2.0,1.0,5.0,631.0,634.0,0.516,0.516,9.238e-199,1.27e-200,1441,0.0108423849596147,1.7163155590452273,96.58086723089218,0.190720642155507,0.1060112886838949,5.771018838939429,327.3236919641495,11.174395561895231,0.2018270998794072,4.051302906030542,231.1552356481552,2.132634393108773,0.0403769414097795,3.210954912328823,182.2446732521057,1.2169006819031487,0.10498046875,0.4763,12.06,0.0004672391023178,1.0,0.0,0.0,3089.0,0.505,567.0,1.45e-80,0.9735,0.9008,0.9716,1.0,0.8938,2.0,0.0,1.0,631.0,0.516,1.27e-200,-1.4589883388978544,0.003,0.567,0.025,False,False
YHL001W,YKL006W,0.992754,0.992754,0.992754,True,2,29,YHL001W_YKL006W,YHL001W,YKL006W,True,"{'YGR245C', 'YDR382W', 'YLR340W', 'YPL131W', 'YPL143W', 'YBR084C-A', 'YFR031C-A;YIL018W', 'YER056C-A', 'YKL180W', 'YLR061W', 'YHR010W;YDR471W', 'YGR148C', 'YPR102C;YGR085C', 'YDL130W', 'YNL162W;YHR141C', 'YLR406C', 'YLR075W', 'YOR091W', 'YMR014W', 'YEL054C;YDR418W', 'YKR043C', 'YPR043W;YJR094W-A', 'YOL120C;YNL301C', 'YBL092W', 'YMR072W', 'YHL033C', 'YBL027W', 'YGL205W', 'YPR008W', 'YPL249C-A', 'YNL069C', 'YLL045C', 'YJL189W', 'YBR031W', 'YIL133C', 'YOR063W', 'YHR170W', 'YJL177W', 'YLR287C-A;YOR182C', 'YBR084W', 'YBR191W', 'YBR084C-A;YBL027W', 'YMR242C;YOR312C', 'YLR150W', 'YNL091W', 'YAL035W', 'YPL079W', 'YLR029C', 'YOL127W', 'YPL127C', 'YDR174W', 'YBR263W', 'YDL081C', 'YLR196W', 'YGL076C', 'YOL039W', 'YLR185W', 'YGR034W', 'YDR101C', 'YGL147C', 'YGL099W', 'YPL220W;YGL135W'}","{'YDR382W', 'YER164W', 'YLR249W', 'YER006W', 'YER131W', 'YHR127W', 'YLR344W', 'YBR084C-A', 'YPR043W', 'YNL023C', 'YHR146W', 'YKL180W', 'YLR384C', 'YPL085W', 'YAL036C', 'YLR278C', 'YLL034C', 'YHL033C', 'YLR448W', 'YGL205W', 'YPL249C-A', 'YFL034C-A', 'YNL069C', 'YLL045C', 'YJL189W', 'YPL220W;YGL135W', 'YBR084C-A;YBL027W', 'YJL177W', 'YBR084W', 'YBR191W', 'YGR200C', 'YMR242C;YOR312C', 'YLR150W', 'YGL030W', 'YJL159W', 'YAL035W', 'YOL080C', 'YLR029C', 'YOL127W', 'YPL127C', 'YDL081C', 'YDR471W', 'YPL146C', 'YGL076C', 'YPL210C', 'YAL059W', 'YOL039W', 'YLL008W', 'YDR101C', 'YGL147C', 'YLR330W', 'YMR142C', 'YGL099W', 'YLR325C', 'YIL052C', 'YNL301C', 'YFR031C-A', 'YLR061W', 'YHR010W;YDR471W', 'YGR245C', 'YLR340W', 'YHR020W', 'YPL143W', 'YPL131W', 'YGR085C', 'YFR031C-A;YIL018W', 'YER056C-A', 'YGL031C', 'YPL009C', 'YKL009W', 'YDR500C', 'YGR148C', 'YDR333C', 'YPR102C;YGR085C', 'YDL130W', 'YNL162W;YHR141C', 'YLR406C', 'YLR075W', 'YOR091W', 'YEL054C;YDR418W', 'YPR043W;YJR094W-A', 'YOL120C;YNL301C', 'YBL092W', 'YDL075W', 'YMR072W', 'YBL027W', 'YHR019C', 'YGL246C', 'YNR053C', 'YNL227C', 'YML073C', 'YPL198W', 'YBR031W', 'YIL133C', 'YHR170W', 'YOR063W', 'YHR042W', 'YLR287C-A;YOR182C', 'YJL034W', 'YIL161W', 'YKL122C', 'YGR081C', 'YNL091W', 'YDR381W', 'YNL112W', 'YPL079W', 'YDL082W', 'YMR012W', 'YDR174W', 'YBR263W', 'YLR196W', 'YLR185W', 'YGR034W', 'YHR064C', 'YBR073W', 'YGR285C', 'YJL122W', 'YDR012W'}",62,118,"{'YGR245C', 'YDR382W', 'YLR340W', 'YPL131W', 'YPL143W', 'YBR084C-A', 'YFR031C-A;YIL018W', 'YER056C-A', 'YKL180W', 'YLR061W', 'YGR148C', 'YPR102C;YGR085C', 'YDL130W', 'YNL162W;YHR141C', 'YLR406C', 'YLR075W', 'YOR091W', 'YEL054C;YDR418W', 'YPR043W;YJR094W-A', 'YOL120C;YNL301C', 'YBL092W', 'YMR072W', 'YHL033C', 'YBL027W', 'YGL205W', 'YPL249C-A', 'YNL069C', 'YLL045C', 'YJL189W', 'YPL220W;YGL135W', 'YBR031W', 'YIL133C', 'YOR063W', 'YHR170W', 'YJL177W', 'YLR287C-A;YOR182C', 'YBR084W', 'YBR191W', 'YBR084C-A;YBL027W', 'YMR242C;YOR312C', 'YLR150W', 'YNL091W', 'YAL035W', 'YPL079W', 'YLR029C', 'YOL127W', 'YPL127C', 'YDR174W', 'YBR263W', 'YDL081C', 'YLR196W', 'YGL076C', 'YOL039W', 'YLR185W', 'YGR034W', 'YDR101C', 'YGL147C', 'YGL099W', 'YHR010W;YDR471W'}",121,59,0.4876033057851239,92.77275528970536,YHL001W,YKL006W,P38754,P36105,1.0,1.0,0.0,0.0,0.0,0.0,854.0,875.0,0.992,0.992,138.0,138.0,6.1289999999999995e-22,1.2119999999999998e-22,0.9482,0.9492,0.9482,0.9492,0.9482,0.9492,1.0,1.0,0.9867,0.9819,1.0,1.0,0.0,0.0,0.0,0.0,260.0,261.0,0.992,0.992,2.963e-79,1.3310000000000001e-79,3751,8.411505906402716e-05,0.1477149470880561,8.396380603313446,0.0004781791325602,0.0006348515483591,0.4710984857009329,26.68555897474289,0.0086514071301898,0.0010972099393513,0.3491819676921954,19.90423464775085,0.0015341260779276,0.0002902103493075,0.267747033144354,15.146402359008787,0.0015132968476845,0.00146484375,0.07007,1.75,3.084822815525762e-06,1.0,0.0,0.0,854.0,0.992,138.0,1.2119999999999998e-22,0.9482,0.9482,0.9482,1.0,0.9819,1.0,0.0,0.0,260.0,0.992,1.3310000000000001e-79,-6.591353519315083,0.867,1.0,1.0,True,True
