A1_ensembl,A2_ensembl,sequence_identity,min_sequence_identity,max_seq_id,closest,family_size,family_id,sorted_gene_pair,A1_entrez,A2_entrez,interact,A1_ppi,A2_ppi,n_A1_ppi,n_A2_ppi,shared_ppi,n_total_ppi,n_shared_ppi,shared_ppi_jaccard_idx,fet_ppi_overlap,A1,A2,uniprot_id_A1,uniprot_id_A2,A1_A2_rank_struct,A2_A1_rank_struct,A1_nb_human_struct,A2_nb_human_struct,A1_nb_taxid_struct,A2_nb_taxid_struct,A1_bits_struct,A2_bits_struct,A1_fident_struct,A2_fident_struct,A1_alnlen_struct,A2_alnlen_struct,A1_evalue_struct,A2_evalue_struct,A1_alntmscore_struct,A2_alntmscore_struct,A1_qtmscore_struct,A2_qtmscore_struct,A1_ttmscore_struct,A2_ttmscore_struct,A1_prob_struct,A2_prob_struct,A1_lddt_struct,A2_lddt_struct,A1_A2_rank_seq,A2_A1_rank_seq,A1_nb_selfSP_seq,A2_nb_selfSP_seq,A1_nb_taxid_seq,A2_nb_taxid_seq,A1_A2_bits_seq,A2_A1_bits_seq,A1_A2_id_percent_seq,A2_A1_id_percent_seq,A1_A2_evalue_seq,A2_A1_evalue_seq,Unnamed: 0,esm2_beginning_of_sequence_cosine,esm2_beginning_of_sequence_euclidean,esm2_beginning_of_sequence_manhattan,esm2_beginning_of_sequence_ts_ss,esm2_end_of_sequence_cosine,esm2_end_of_sequence_euclidean,esm2_end_of_sequence_manhattan,esm2_end_of_sequence_ts_ss,esm2_mean_of_residue_tokens_cosine,esm2_mean_of_residue_tokens_euclidean,esm2_mean_of_residue_tokens_manhattan,esm2_mean_of_residue_tokens_ts_ss,esm2_mean_of_special_tokens_cosine,esm2_mean_of_special_tokens_euclidean,esm2_mean_of_special_tokens_manhattan,esm2_mean_of_special_tokens_ts_ss,ProtT5_per-protein_cosine,ProtT5_per-protein_euclidean,ProtT5_per-protein_manhattan,ProtT5_per-protein_ts_ss,rank_struct,selfSP_struct,taxid_struct,bits_struct,fident_struct,alnlen_struct,evalue_struct,alntmscore_struct,qtmscore_struct,ttmscore_struct,prob_struct,lddt_struct,rank_seq,selfSP_seq,taxid_seq,bits_seq,id_percent_seq,evalue_seq,dim1_PCA,BPO,CCO,MFO,same_func_go,same_func_ppi
YDL245C,YDR342C,0.559083,0.55614,0.559083,False,27,1,YDL245C_YDR342C,YDL245C,YDR342C,False,set(),set(),0,0,set(),0,0,0.0,0.0,YDL245C,YDR342C,P54854,P39004,8.0,13.0,7.0,12.0,0.0,0.0,2320.0,2401.0,0.577,0.581,551.0,547.0,1.137e-48,1.842e-49,0.8424,0.8486,0.8199,0.8161,0.8158,0.8202,1.0,1.0,0.8408,0.8752,7.0,19.0,5.0,14.0,1.0,4.0,662.0,660.0,0.625,0.606,3.189e-210,1.7770000000000003e-209,1749,0.0032181213091661,0.920025036499397,52.31665641069412,0.0322547823224031,0.0181750385773545,2.273155141300841,129.6355282664299,0.4243370233847829,0.075424351500785,2.4144641636580992,137.5784814953804,0.4399716337305168,0.0069027789951224,1.3122552687096445,74.61030960083008,0.0797835172068046,0.0380859375,0.2854,7.133,8.26780839004813e-05,8.0,7.0,0.0,2320.0,0.577,547.0,1.842e-49,0.8424,0.8161,0.8158,1.0,0.8408,7.0,5.0,1.0,660.0,0.606,3.189e-210,-3.900024289977402,0.837,1.0,0.88,True,True
YCR024C-A,YEL017C-A,0.975,0.906977,0.975,True,2,10,YCR024C-A_YEL017C-A,YCR024C-A,YEL017C-A,False,"{'YDR141C', 'YMR054W', 'YGL160W', 'YER001W'}",{'YGL160W'},4,1,{'YGL160W'},4,1,0.25,2.992000909942456,YCR024C-A,YEL017C-A,P32903,P40975,1.0,1.0,0.0,0.0,0.0,0.0,151.0,155.0,0.95,0.95,40.0,40.0,0.001326,0.0003912,0.9448,0.9464,0.9448,0.8843,0.9097,0.9464,1.0,1.0,0.9848,0.9637,1.0,1.0,0.0,0.0,0.0,0.0,77.0,76.0,0.974,0.974,1.215e-17,3.194e-17,1222,0.0050477320658587,1.1124910272400452,63.543394684791565,0.0536153538174015,0.0065401009750077,1.3558576897011705,76.50230205059052,0.1160370162586966,0.0240309119444802,1.8010483917570288,101.35983437299728,0.1596523106901899,0.0041510098489687,0.9671603220722428,54.91596269607544,0.0341527248516938,0.02001953125,0.3938,9.93,0.0005478585778195,1.0,0.0,0.0,151.0,0.95,40.0,0.0003912,0.9448,0.8843,0.9097,1.0,0.9637,1.0,0.0,0.0,76.0,0.974,1.215e-17,-4.9327807031361,1.0,1.0,1.0,True,True
YLR216C,YML078W,0.261456,0.261456,0.532967,True,5,13,YLR216C_YML078W,YLR216C,YML078W,False,"{'YDR270W', 'YIL109C', 'YCR047C', 'YER168C', 'YHR020W', 'YNL247W', 'YJL080C', 'YLR195C', 'YNL231C', 'YLL018C', 'YJR047C', 'YGR285C', 'YEL065W', 'YER048C', 'YLR244C', 'YDR037W', 'YBR080C', 'YPL169C', 'YOR057W', 'YHR019C', 'YLR225C', 'YKR084C', 'YIL078W', 'YMR319C', 'YKL110C', 'YJL130C', 'YLR060W', 'YEL071W', 'YLR022C', 'YPR033C', 'YAL005C', 'YPL101W', 'YDL182W', 'YGL039W', 'YLL024C', 'YPL210C', 'YGL245W', 'YDL131W', 'YHR064C', 'YPL160W', 'YDL201W', 'YGR185C', 'YBR121C', 'YFR024C-A', 'YOL158C', 'YOR168W'}","{'YMR313C', 'YNL317W', 'YOR136W', 'YLR090W', 'YDR148C', 'YEL060C', 'YOL047C', 'YDR310C', 'YIL156W', 'YDR419W', 'YLR048W', 'YAL011W', 'YML005W', 'YDR228C', 'YPL161C', 'YNL068C', 'YBL084C', 'YLR386W', 'YLR210W', 'YNL309W', 'YNR038W', 'YOR239W', 'YPL139C', 'YER038C', 'YMR119W', 'YNL325C', 'YER080W', 'YOL010W', 'YGL060W', 'YGL111W', 'YER103W', 'YDR477W', 'YER178W', 'YLR039C', 'YBL075C', 'YKL143W', 'YML060W', 'YPR105C', 'YAL047C', 'YMR293C', 'YOR070C', 'YOR272W', 'YAL056W', 'YDR407C', 'YHR036W', 'YKR008W', 'YGL219C', 'YOL117W', 'YKL085W', 'YHR161C', 'YDR247W', 'YHR018C'}",46,52,set(),98,0,0.0,0.0,YLR216C,YML078W,P53691,P25719,164.0,182.0,2.0,1.0,30.0,30.0,902.0,927.0,0.554,0.554,173.0,173.0,9.076999999999999e-22,2.717e-23,0.9108,0.9122,0.4288,0.8678,0.8664,0.8628,1.0,1.0,0.8578,0.9192,112.0,147.0,2.0,1.0,59.0,67.0,183.0,182.0,0.561,0.561,1.132e-48,2.6359999999999998e-51,5076,0.0282861165259922,2.7848346847195864,158.2267611026764,0.9142413798246968,0.4092655537552523,13.147884406263747,745.4119155406952,164.02288473492135,0.1897543420391259,3.9914637495940486,226.45465695858,2.188332011475107,0.1857905684897343,6.865122808667668,388.2476358413696,16.24914308966562,0.201171875,0.9375,23.42,0.007168195661143,164.0,1.0,30.0,902.0,0.554,173.0,2.717e-23,0.9108,0.4288,0.8628,1.0,0.8578,112.0,1.0,59.0,182.0,0.561,2.6359999999999998e-51,6.256093627639277,0.892,0.913,0.707,True,True
YFL009W,YJL112W,0.101412,0.101412,0.1106439999999999,False,5,21,YFL009W_YJL112W,YFL009W,YJL112W,False,{'YDL132W'},"{'YJR064W', 'YDR212W', 'YDL143W', 'YJL111W', 'YJL008C', 'YIL142W', 'YJL014W', 'YDR188W'}",1,8,set(),9,0,0.0,0.0,YFL009W,YJL112W,P07834,P47025,928.0,1891.0,12.0,31.0,31.0,32.0,441.0,418.0,0.127,0.131,791.0,836.0,2.0559999999999999e-22,5.425e-21,0.3423,0.343,0.3164,0.343,0.3423,0.3369,1.0,1.0,0.5381,0.5479,364.0,244.0,9.0,4.0,119.0,98.0,76.0,82.0,0.245,0.232,1.392e-12,1.795e-14,2987,0.0306548387668256,2.873730947687775,163.4922931790352,0.8738119335596377,0.3516725215903847,11.687853023255496,640.8815539479256,150.50826964909157,0.189841704995389,4.285785225695391,242.50380420684812,2.449555872797262,0.1495303848324348,6.2039920481256345,341.5269867181778,10.794482028067415,0.19140625,0.933,23.86,0.0056311377005368,928.0,12.0,31.0,418.0,0.127,791.0,2.0559999999999999e-22,0.3423,0.3164,0.3369,1.0,0.5381,244.0,4.0,98.0,76.0,0.232,1.795e-14,6.752057236763577,0.044,0.198,0.719,False,False
YFL009W,YIL046W,0.125802,0.125802,0.153125,False,5,21,YFL009W_YIL046W,YFL009W,YIL046W,False,{'YDL132W'},"{'YIL109C', 'YKL001C', 'YKL054C', 'YDL132W', 'YJR010W', 'YJR047C', 'YDR328C', 'YCL051W', 'YDR054C', 'YKR042W', 'YDL224C', 'YFR030W', 'YML082W', 'YGL181W', 'YPR181C', 'YLR089C', 'YEL034W', 'YER112W', 'YCL009C', 'YER091C', 'YJR137C'}",1,21,{'YDL132W'},21,1,0.0476190476190476,2.271841606536499,YFL009W,YIL046W,P07834,P39014,63.0,154.0,1.0,1.0,24.0,30.0,749.0,787.0,0.199,0.197,703.0,739.0,2.0070000000000003e-31,3.7460000000000004e-31,0.4798,0.4943,0.4042,0.4943,0.4798,0.4811,1.0,1.0,0.5902,0.6406,32.0,109.0,1.0,1.0,17.0,63.0,124.0,127.0,0.252,0.248,3.0669999999999998e-27,2.02e-28,2986,0.0120493134615082,1.8035941657310048,102.73018485307692,0.2119709377125483,0.1612228692200539,7.41179448206337,418.0881907939911,28.0843360209662,0.1138182692996897,3.180555116341631,179.72499215602875,1.038249004467909,0.0597579355519302,3.933534514703241,222.2334970235825,2.302665728915433,0.134765625,0.78,19.14,0.0042735433071572,63.0,1.0,24.0,749.0,0.197,703.0,2.0070000000000003e-31,0.4798,0.4042,0.4798,1.0,0.5902,32.0,1.0,17.0,124.0,0.248,2.02e-28,1.4266548567631236,0.601,0.927,0.719,True,True
YHL001W,YKL006W,0.992754,0.992754,0.992754,True,2,29,YHL001W_YKL006W,YHL001W,YKL006W,True,"{'YGR245C', 'YDR382W', 'YLR340W', 'YPL131W', 'YPL143W', 'YBR084C-A', 'YFR031C-A;YIL018W', 'YER056C-A', 'YKL180W', 'YLR061W', 'YHR010W;YDR471W', 'YGR148C', 'YPR102C;YGR085C', 'YDL130W', 'YNL162W;YHR141C', 'YLR406C', 'YLR075W', 'YOR091W', 'YMR014W', 'YEL054C;YDR418W', 'YKR043C', 'YPR043W;YJR094W-A', 'YOL120C;YNL301C', 'YBL092W', 'YMR072W', 'YHL033C', 'YBL027W', 'YGL205W', 'YPR008W', 'YPL249C-A', 'YNL069C', 'YLL045C', 'YJL189W', 'YBR031W', 'YIL133C', 'YOR063W', 'YHR170W', 'YJL177W', 'YLR287C-A;YOR182C', 'YBR084W', 'YBR191W', 'YBR084C-A;YBL027W', 'YMR242C;YOR312C', 'YLR150W', 'YNL091W', 'YAL035W', 'YPL079W', 'YLR029C', 'YOL127W', 'YPL127C', 'YDR174W', 'YBR263W', 'YDL081C', 'YLR196W', 'YGL076C', 'YOL039W', 'YLR185W', 'YGR034W', 'YDR101C', 'YGL147C', 'YGL099W', 'YPL220W;YGL135W'}","{'YDR382W', 'YER164W', 'YLR249W', 'YER006W', 'YER131W', 'YHR127W', 'YLR344W', 'YBR084C-A', 'YPR043W', 'YNL023C', 'YHR146W', 'YKL180W', 'YLR384C', 'YPL085W', 'YAL036C', 'YLR278C', 'YLL034C', 'YHL033C', 'YLR448W', 'YGL205W', 'YPL249C-A', 'YFL034C-A', 'YNL069C', 'YLL045C', 'YJL189W', 'YPL220W;YGL135W', 'YBR084C-A;YBL027W', 'YJL177W', 'YBR084W', 'YBR191W', 'YGR200C', 'YMR242C;YOR312C', 'YLR150W', 'YGL030W', 'YJL159W', 'YAL035W', 'YOL080C', 'YLR029C', 'YOL127W', 'YPL127C', 'YDL081C', 'YDR471W', 'YPL146C', 'YGL076C', 'YPL210C', 'YAL059W', 'YOL039W', 'YLL008W', 'YDR101C', 'YGL147C', 'YLR330W', 'YMR142C', 'YGL099W', 'YLR325C', 'YIL052C', 'YNL301C', 'YFR031C-A', 'YLR061W', 'YHR010W;YDR471W', 'YGR245C', 'YLR340W', 'YHR020W', 'YPL143W', 'YPL131W', 'YGR085C', 'YFR031C-A;YIL018W', 'YER056C-A', 'YGL031C', 'YPL009C', 'YKL009W', 'YDR500C', 'YGR148C', 'YDR333C', 'YPR102C;YGR085C', 'YDL130W', 'YNL162W;YHR141C', 'YLR406C', 'YLR075W', 'YOR091W', 'YEL054C;YDR418W', 'YPR043W;YJR094W-A', 'YOL120C;YNL301C', 'YBL092W', 'YDL075W', 'YMR072W', 'YBL027W', 'YHR019C', 'YGL246C', 'YNR053C', 'YNL227C', 'YML073C', 'YPL198W', 'YBR031W', 'YIL133C', 'YHR170W', 'YOR063W', 'YHR042W', 'YLR287C-A;YOR182C', 'YJL034W', 'YIL161W', 'YKL122C', 'YGR081C', 'YNL091W', 'YDR381W', 'YNL112W', 'YPL079W', 'YDL082W', 'YMR012W', 'YDR174W', 'YBR263W', 'YLR196W', 'YLR185W', 'YGR034W', 'YHR064C', 'YBR073W', 'YGR285C', 'YJL122W', 'YDR012W'}",62,118,"{'YGR245C', 'YDR382W', 'YLR340W', 'YPL131W', 'YPL143W', 'YBR084C-A', 'YFR031C-A;YIL018W', 'YER056C-A', 'YKL180W', 'YLR061W', 'YGR148C', 'YPR102C;YGR085C', 'YDL130W', 'YNL162W;YHR141C', 'YLR406C', 'YLR075W', 'YOR091W', 'YEL054C;YDR418W', 'YPR043W;YJR094W-A', 'YOL120C;YNL301C', 'YBL092W', 'YMR072W', 'YHL033C', 'YBL027W', 'YGL205W', 'YPL249C-A', 'YNL069C', 'YLL045C', 'YJL189W', 'YPL220W;YGL135W', 'YBR031W', 'YIL133C', 'YOR063W', 'YHR170W', 'YJL177W', 'YLR287C-A;YOR182C', 'YBR084W', 'YBR191W', 'YBR084C-A;YBL027W', 'YMR242C;YOR312C', 'YLR150W', 'YNL091W', 'YAL035W', 'YPL079W', 'YLR029C', 'YOL127W', 'YPL127C', 'YDR174W', 'YBR263W', 'YDL081C', 'YLR196W', 'YGL076C', 'YOL039W', 'YLR185W', 'YGR034W', 'YDR101C', 'YGL147C', 'YGL099W', 'YHR010W;YDR471W'}",121,59,0.4876033057851239,92.77275528970536,YHL001W,YKL006W,P38754,P36105,1.0,1.0,0.0,0.0,0.0,0.0,854.0,875.0,0.992,0.992,138.0,138.0,6.1289999999999995e-22,1.2119999999999998e-22,0.9482,0.9492,0.9482,0.9492,0.9482,0.9492,1.0,1.0,0.9867,0.9819,1.0,1.0,0.0,0.0,0.0,0.0,260.0,261.0,0.992,0.992,2.963e-79,1.3310000000000001e-79,3751,8.411505906402716e-05,0.1477149470880561,8.396380603313446,0.0004781791325602,0.0006348515483591,0.4710984857009329,26.68555897474289,0.0086514071301898,0.0010972099393513,0.3491819676921954,19.90423464775085,0.0015341260779276,0.0002902103493075,0.267747033144354,15.146402359008787,0.0015132968476845,0.00146484375,0.07007,1.75,3.084822815525762e-06,1.0,0.0,0.0,854.0,0.992,138.0,1.2119999999999998e-22,0.9482,0.9482,0.9482,1.0,0.9819,1.0,0.0,0.0,260.0,0.992,1.3310000000000001e-79,-6.591353519315083,0.867,1.0,1.0,True,True
YKL145W,YOR117W,0.321199,0.321199,0.345622,False,6,31,YKL145W_YOR117W,YKL145W,YOR117W,True,"{'YKL206C', 'YPR108W', 'YER094C', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YOR259C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YDL097C', 'YHR027C', 'YPR103W', 'YCR076C', 'YOR362C', 'YEL071W', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YLR199C', 'YBL041W', 'YOL038W', 'YIL075C', 'YLR421C', 'YML092C', 'YGR232W', 'YDR394W', 'YBR272C', 'YFR004W', 'YDR427W'}","{'YMR100W', 'YKL206C', 'YPR108W', 'YER094C', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR050C', 'YOR259C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YDL097C', 'YHR027C', 'YPR103W', 'YCR076C', 'YOR362C', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YJL209W', 'YLR199C', 'YBL041W', 'YPL028W', 'YIL075C', 'YGR232W', 'YLR421C', 'YKR090W', 'YOL038W', 'YDR394W', 'YML092C', 'YBR272C', 'YFR004W', 'YDR427W'}",45,48,"{'YKL206C', 'YER094C', 'YPR108W', 'YBR173C', 'YGL004C', 'YHL030W', 'YDR363W-A', 'YOR157C', 'YGR253C', 'YFR004W', 'YFR050C', 'YOR259C', 'YER021W', 'YOR261C', 'YGL048C', 'YJL001W', 'YHR027C', 'YDL097C', 'YCR076C', 'YPR103W', 'YOR362C', 'YGR135W', 'YNL155W', 'YFL007W', 'YFR052W', 'YDL007W', 'YMR314W', 'YMR219W', 'YHR200W', 'YER012W', 'YDL147W', 'YGL011C', 'YFR010W', 'YEL037C', 'YLR199C', 'YBL041W', 'YOL038W', 'YIL075C', 'YLR421C', 'YML092C', 'YGR232W', 'YDR394W', 'YBR272C', 'YDR427W'}",49,44,0.8979591836734694,96.6671988446693,YKL145W,YOR117W,P33299,P33297,128.0,175.0,2.0,3.0,30.0,31.0,1383.0,1378.0,0.358,0.357,452.0,459.0,1.02e-43,3.0890000000000005e-42,0.7652,0.7635,0.7128,0.7635,0.7652,0.7579,1.0,1.0,0.8068,0.8052,104.0,108.0,3.0,2.0,57.0,57.0,278.0,283.0,0.477,0.484,1.028e-79,6.551e-82,4730,0.0172832480882105,2.139508425006088,121.9214173555374,0.3734427463265975,0.0571257387671465,4.394225017904861,247.8432918190956,4.297536903202864,0.080060378563654,2.4574790489564715,135.3033304810524,0.3970474459834445,0.025362233531592,2.5411969502976475,143.27408742904663,0.6212049591823187,0.04248046875,0.386,9.81,0.0002507345213296,128.0,2.0,30.0,1378.0,0.357,452.0,1.02e-43,0.7635,0.7128,0.7579,1.0,0.8052,104.0,2.0,57.0,278.0,0.477,6.551e-82,-1.6776784348005722,1.0,1.0,,True,True
YJL128C,YPL140C,0.170659,0.170659,0.225296,False,3,37,YJL128C_YPL140C,YJL128C,YPL140C,False,"{'YDR429C', 'YER036C', 'YOR361C', 'YBR025C', 'YGR162W', 'YHR079C', 'YBR079C', 'YGR211W'}",set(),8,0,set(),8,0,0.0,0.0,YJL128C,YPL140C,P08018,P32491,165.0,270.0,1.0,3.0,29.0,30.0,647.0,607.0,0.254,0.266,561.0,552.0,5.732e-25,2.346e-23,0.5113,0.5043,0.3929,0.5043,0.5113,0.4999,1.0,1.0,0.657,0.6087,57.0,52.0,2.0,2.0,25.0,25.0,168.0,171.0,0.371,0.371,3.2469999999999997e-41,3.292e-43,4435,0.010908286876508,1.6950693204846534,96.7377507686615,0.1763947982428106,0.0998896431261794,5.784723978221332,325.9311218857765,12.258868277097989,0.1121769193457322,3.259461353231813,183.7150515317917,0.9704888450725156,0.0401392133963047,3.1882560462764844,180.01417303085327,1.258635191554094,0.09326171875,0.5938,15.016,0.0015957523843527,165.0,1.0,29.0,607.0,0.254,552.0,5.732e-25,0.5043,0.3929,0.4999,1.0,0.6087,52.0,2.0,25.0,168.0,0.371,3.292e-43,0.31964262589284065,0.365,0.906,,True,True
YJL128C,YOR231W,0.191617,0.191617,0.2519679999999999,True,3,37,YJL128C_YOR231W,YJL128C,YOR231W,False,"{'YDR429C', 'YER036C', 'YOR361C', 'YBR025C', 'YGR162W', 'YHR079C', 'YBR079C', 'YGR211W'}","{'YHR001W', 'YER031C'}",8,2,set(),10,0,0.0,0.0,YJL128C,YOR231W,P08018,P32490,184.0,217.0,3.0,3.0,29.0,29.0,626.0,613.0,0.283,0.278,547.0,582.0,6.201e-24,4.7559999999999996e-23,0.4969,0.4914,0.383,0.4914,0.4969,0.4868,1.0,1.0,0.6852,0.663,53.0,44.0,1.0,2.0,25.0,24.0,181.0,180.0,0.406,0.412,2.297e-45,3.636e-46,4434,0.0112380234957674,1.7222552454768532,97.94380301237106,0.1879066273666705,0.2145045604053704,8.864728062909514,494.3807285428047,56.7158310177407,0.1111985901019665,3.260420803407313,184.3286039233208,0.9322904690475056,0.0855435694879109,4.631733911273066,258.07244348526,4.013492237695771,0.09130859375,0.591,14.99,0.0014000698777491,184.0,3.0,29.0,613.0,0.278,547.0,6.201e-24,0.4914,0.383,0.4868,1.0,0.663,44.0,1.0,24.0,180.0,0.406,3.636e-46,2.108163012013447,0.365,0.906,,True,True
YBR078W,YDR055W,0.582751,0.563063,0.582751,True,4,44,YBR078W_YDR055W,YBR078W,YDR055W,False,"{'YMR086W', 'YMR183C', 'YDL121C', 'YMR266W', 'YBR106W', 'YDR011W', 'YOR153W', 'YPL004C', 'YDR261C', 'YLR413W', 'YIL121W', 'YJL171C', 'YGR086C', 'YPL232W', 'YMR307W', 'YBR086C', 'YBR069C', 'YNL149C', 'YLR066W', 'YMR215W', 'YGL008C', 'YDR144C', 'YHR094C', 'YOL030W', 'YDR051C', 'YDR033W', 'YKR031C', 'YML059C', 'YDL015C', 'YMR038C'}","{'YCR012W', 'YDL232W', 'YLR120C', 'YBR234C', 'YOR244W', 'YNL025C'}",30,6,set(),36,0,0.0,0.0,YBR078W,YDR055W,P38248,Q12355,1.0,1.0,0.0,0.0,0.0,0.0,1717.0,1713.0,0.575,0.575,441.0,441.0,3.163e-37,2.165e-36,0.8054,0.8043,0.8054,0.7781,0.8009,0.8043,1.0,1.0,0.8771,0.8996,5.0,3.0,0.0,0.0,3.0,2.0,430.0,431.0,0.583,0.583,1.385e-132,1.152e-132,728,0.0027453847857163,0.8600564029089703,48.96175521612168,0.0266128374433881,0.0483099871334398,4.229829247028111,238.157911002636,4.12641504557266,0.0485702241919786,2.1760043900854025,124.23305720090866,0.2463154919900216,0.0194255128508566,2.249450404588442,126.79003524780272,0.3969014629203364,0.0224609375,0.332,8.55,0.0002212354730116,1.0,0.0,0.0,1713.0,0.575,441.0,3.163e-37,0.8043,0.7781,0.8009,1.0,0.8771,3.0,0.0,2.0,430.0,0.583,1.152e-132,-3.307795646909371,0.786,1.0,,True,True
